2,0
2018-12-06-15:05:25.31042,138.56,134.264
2018-12-06-15:05:25.81111,138.56,134.264
2018-12-06-15:05:26.31204,139.0,134.303
2018-12-06-15:05:26.81276,139.0,134.303
2018-12-06-15:05:27.31320,139.87,134.573
2018-12-06-15:05:27.81394,140.71,135.074
2018-12-06-15:05:28.31452,140.71,135.074
2018-12-06-15:05:28.81509,141.33,135.572
2018-12-06-15:05:29.31571,141.62,136.072
2018-12-06-15:05:29.81692,141.62,136.072
2018-12-06-15:05:30.31794,141.68,136.423
2018-12-06-15:05:30.82080,141.62,136.646
2018-12-06-15:05:31.32148,141.62,136.646
2018-12-06-15:05:31.82275,141.58,136.823
2018-12-06-15:05:32.32600,141.48,136.872
2018-12-06-15:05:32.82698,141.48,136.872
2018-12-06-15:05:33.32800,141.42,136.914
2018-12-06-15:05:33.82880,141.42,136.914
2018-12-06-15:05:34.32929,141.43,136.971
2018-12-06-15:05:34.82993,141.38,136.939
2018-12-06-15:05:35.33038,141.38,136.939
2018-12-06-15:05:35.83160,141.37,137.001
2018-12-06-15:05:36.33216,141.38,136.97
2018-12-06-15:05:36.83287,141.38,136.97
2018-12-06-15:05:37.33365,141.33,136.956
2018-12-06-15:05:37.83383,141.34,136.997
2018-12-06-15:05:38.33443,141.34,136.997
2018-12-06-15:05:38.83476,141.35,136.953
2018-12-06-15:05:39.33579,141.38,136.982
2018-12-06-15:05:39.83720,141.38,136.982
2018-12-06-15:05:40.33773,141.38,136.987
2018-12-06-15:05:40.83804,141.38,136.987
2018-12-06-15:05:41.33893,141.38,136.948
2018-12-06-15:05:41.83969,141.38,136.972
2018-12-06-15:05:42.34093,141.38,136.972
2018-12-06-15:05:42.84154,141.39,136.971
2018-12-06-15:05:43.34268,141.38,136.939
2018-12-06-15:05:43.84331,141.38,136.939
2018-12-06-15:05:44.34444,141.39,136.964
2018-12-06-15:05:44.84561,141.37,136.92
2018-12-06-15:05:45.34583,141.37,136.92
2018-12-06-15:05:45.84710,141.37,136.912
2018-12-06-15:05:46.35007,141.43,136.924
2018-12-06-15:05:46.85127,141.43,136.924
2018-12-06-15:05:47.35196,141.43,136.901
2018-12-06-15:05:47.85251,141.42,136.898
2018-12-06-15:05:48.35869,141.42,136.898
2018-12-06-15:05:48.85919,141.14,136.909
2018-12-06-15:05:49.36062,141.14,136.909
2018-12-06-15:05:49.86119,141.09,136.871
2018-12-06-15:05:50.36225,141.14,136.871
2018-12-06-15:05:50.86347,141.14,136.871
2018-12-06-15:05:51.38369,141.18,136.881
2018-12-06-15:05:51.88491,141.34,136.875
2018-12-06-15:05:52.38566,141.34,136.875
2018-12-06-15:05:52.88665,141.38,136.948
2018-12-06-15:05:53.38748,141.39,136.962
2018-12-06-15:05:53.88886,141.39,136.962
2018-12-06-15:05:54.38976,141.42,136.968
2018-12-06-15:05:54.89488,141.43,137.01
2018-12-06-15:05:55.39502,141.43,137.01
2018-12-06-15:05:55.89595,141.43,136.979
2018-12-06-15:05:56.39935,141.44,137.006
2018-12-06-15:05:56.90079,141.44,137.006
2018-12-06-15:05:57.40106,141.44,137.02
2018-12-06-15:05:57.90147,141.44,137.02
2018-12-06-15:05:58.40245,141.38,136.968
2018-12-06-15:05:58.90353,141.39,136.989
2018-12-06-15:05:59.40395,141.39,136.989
2018-12-06-15:05:59.90519,139.93,136.968
2018-12-06-15:06:00.40638,138.8,136.924
2018-12-06-15:06:00.92637,138.8,136.924
2018-12-06-15:06:01.42737,139.0,136.983
2018-12-06-15:06:01.92779,139.67,137.176
2018-12-06-15:06:02.42882,139.67,137.176
2018-12-06-15:06:02.92996,140.46,137.525
2018-12-06-15:06:03.43184,141.05,138.042
2018-12-06-15:06:03.93279,141.05,138.042
