No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
321,28.909,3.086,11075.25,19.45,2,-3,4,2
433,31.846,2.8077,11049.77,21.55,1,-4,3,2
347,29.861,2.9898,11022.63,20.09,4,1,0,2
313,28.611,3.1175,11014.49,19.18,-2,3,4,2
527,33.698,2.6576,11001.42,22.86,-2,-3,7,2
697,37.496,2.3967,11000.08,25.7,-5,1,2,2
54,16.401,5.4004,10799.19,10.64,1,2,0,2
823,39.488,2.2802,10780.72,26.94,2,-3,10,2
719,37.922,2.3707,10691.94,25.65,0,-1,-13,2
609,35.832,2.504,10311.5,23.67,1,-2,11,2
98,19.753,4.491,10256.42,12.56,1,2,4,2
508,33.257,2.6918,10218.67,21.72,0,-4,5,2
646,36.78,2.4416,10196.38,24.22,4,3,0,2
677,37.238,2.4127,10193.04,24.55,-3,-4,1,2
280,27.461,3.2454,10097.94,17.58,3,0,6,2
682,37.274,2.4104,10073.33,24.43,-5,-1,1,2
735,38.066,2.3621,10041.5,24.96,-4,-1,8,2
570,34.836,2.5733,9897.11,22.49,1,4,6,2
93,19.6,4.5256,9820.92,12.19,2,1,4,2
362,30.212,2.9559,9724.63,19.11,2,-3,5,2
101,19.895,4.4591,9648.52,12.27,-2,-1,4,2
300,28.2,3.162,9594.5,17.63,-2,-1,8,2
460,32.449,2.7569,9574.81,20.47,1,4,4,2
687,37.336,2.4065,9527.5,23.8,2,-3,9,2
747,38.243,2.3516,9431.76,24.32,0,1,-13,2
692,37.394,2.4029,9430.64,23.72,3,4,2,2
690,37.349,2.4058,9290.51,23.51,-4,-3,2,2
312,28.576,3.1212,9260.1,17.57,3,-2,4,2
47,16.053,5.5167,9056.74,9.53,-2,1,0,2
461,32.456,2.7564,8995.11,19.85,0,1,-11,2
248,26.53,3.3571,8943.56,15.95,2,3,0,2
626,36.315,2.4718,8736.59,22.11,-4,-1,7,2
658,36.959,2.4302,8706.59,22.5,1,-4,7,2
79,18.202,4.8699,8685.56,10.62,2,-1,3,2
388,30.648,2.9147,8563.86,18.21,1,4,1,2
681,37.273,2.4105,8559.91,22.52,5,0,3,2
134,21.953,4.0455,8426.58,12.7,-1,-2,5,2
26,13.421,6.5922,8349.57,7.63,1,0,-4,2
709,37.642,2.3877,8288.75,22.4,-3,-4,2,2
836,39.773,2.2645,8240.25,23.74,0,5,5,2
304,28.439,3.136,8174.67,16.42,-1,-2,8,2
625,36.303,2.4726,8123.26,21.31,-1,4,7,2
295,27.849,3.201,8049.76,15.94,2,-3,3,2
243,26.36,3.3783,7907.04,14.9,-2,3,0,2
299,28.072,3.176,7888.51,15.91,-2,-3,3,2
69,17.198,5.1518,7657.85,9.41,-2,-1,2,2
70,17.238,5.1399,7632.96,9.42,1,2,2,2
380,30.482,2.9303,7570.78,17.02,-4,-1,2,2
48,16.08,5.5076,7547.73,8.72,0,1,-5,2
193,24.043,3.6984,7531.51,13.2,0,1,-8,2
586,35.314,2.5396,7365.38,19.69,2,-3,8,2
124,21.414,4.1461,7085.81,11.35,-2,1,5,2
592,35.383,2.5348,7082.79,19.35,1,-4,6,2
116,21.029,4.2212,6994.9,11.06,0,-1,-7,2
77,18.137,4.8874,6925.94,9.45,2,1,3,2
633,36.622,2.4518,6917.81,19.86,-4,3,1,2
732,38.048,2.3631,6861.7,20.63,5,0,4,2
764,38.496,2.3367,6829.03,20.84,1,-2,12,2
431,31.73,2.8178,6789.63,16.83,2,-3,6,2
752,38.269,2.35,6737.59,20.57,-4,3,4,2
642,36.75,2.4436,6712.49,19.63,-3,2,9,2
216,25.119,3.5423,6540.98,12.88,0,-3,4,2
53,16.347,5.418,6232.46,8.06,2,1,1,2
717,37.873,2.3737,6180.47,19.48,0,-5,2,2
269,27.023,3.2969,6143.02,13.48,2,3,2,2
440,31.983,2.796,6063.72,16.04,-2,-3,6,2
518,33.489,2.6737,6051,16.84,-1,4,5,2
587,35.333,2.5383,6003.6,17.79,0,1,-12,2
3,9.137,9.6709,5952.89,4.37,1,0,-2,2
740,38.118,2.3589,5778.12,18.97,1,5,1,2
329,29.342,3.0414,5769.92,14.26,3,0,7,2
516,33.439,2.6776,5758.45,16.4,2,-3,7,2
152,22.728,3.9093,5730.56,10.86,0,3,2,2
759,38.414,2.3414,5653.85,18.92,-2,-1,12,2
429,31.61,2.8282,5637.95,15.27,-3,0,8,2
393,30.859,2.8953,5599.66,14.83,-1,-2,9,2
728,37.999,2.3661,5562.84,18.55,1,4,8,2
169,23.409,3.797,5544.82,11.01,-2,1,6,2
13,11.092,7.9703,5409.08,5.06,0,-1,-3,2
729,38.001,2.366,5236.3,17.99,-1,2,12,2
402,31.007,2.8818,5227.29,14.4,-4,1,3,2
796,39.05,2.3048,5171.52,18.43,1,3,11,2
91,18.662,4.7508,5140.8,8.38,0,1,-6,2
584,35.3,2.5406,4906.8,16.06,-3,-2,8,2
815,39.331,2.2889,4803.97,17.9,4,3,5,2
695,37.47,2.3983,4789.73,16.94,0,-5,1,2
775,38.702,2.3247,4786.63,17.56,1,-4,8,2
349,29.894,2.9865,4783.67,13.25,4,-1,1,2
656,36.947,2.431,4779.08,16.67,-4,3,2,2
566,34.799,2.576,4750.42,15.56,-1,4,6,2
478,32.839,2.7251,4718.04,14.56,3,2,7,2
844,39.842,2.2608,4699.13,17.96,-4,-3,5,2
378,30.457,2.9326,4694.38,13.39,-2,-3,5,2
824,39.489,2.2802,4601.65,17.6,-3,-2,10,2
654,36.886,2.4349,4598.51,16.32,-3,4,1,2
438,31.941,2.7996,4536.91,13.86,-4,1,4,2
631,36.527,2.458,4522.56,16.01,-4,3,0,2
61,16.706,5.3024,4464.15,6.97,-1,-2,1,2
414,31.244,2.8604,4449.16,13.4,-1,-4,2,2
348,29.872,2.9887,4449.12,12.77,3,-2,5,2
713,37.731,2.3823,4448.79,16.46,4,-1,8,2
445,32.151,2.7819,4256.37,13.52,-4,-1,4,2
616,35.999,2.4928,4249.95,15.27,4,-1,7,2
353,29.965,2.9796,4173.04,12.41,4,1,1,2
785,38.847,2.3164,4152.04,16.42,0,5,4,2
5,9.351,9.4501,4146.79,3.73,0,1,-2,2
325,29.145,3.0616,4055.01,11.87,-2,-3,4,2
751,38.267,2.3501,4046.78,15.94,-3,-4,3,2
232,25.882,3.4396,4026.81,10.43,-2,-1,7,2
65,17.029,5.2026,4025.25,6.75,2,1,2,2
718,37.901,2.372,3994.56,15.67,3,4,3,2
